instance_name,dataset,node_id,node_type,x_coord,y_coord,demand,demand_type,distribution,parameters
A-n33-k5,Christiansen and Lysgaard (2007),1,depot,42.0,68.0,0.0,none,,
A-n33-k5,Christiansen and Lysgaard (2007),2,customer,77.0,97.0,5.0,stochastic,Poisson,{'lambda': 5.0}
A-n33-k5,Christiansen and Lysgaard (2007),3,customer,28.0,64.0,23.0,stochastic,Poisson,{'lambda': 23.0}
A-n33-k5,Christiansen and Lysgaard (2007),4,customer,77.0,39.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n33-k5,Christiansen and Lysgaard (2007),5,customer,32.0,33.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n33-k5,Christiansen and Lysgaard (2007),6,customer,32.0,8.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n33-k5,Christiansen and Lysgaard (2007),7,customer,42.0,92.0,18.0,stochastic,Poisson,{'lambda': 18.0}
A-n33-k5,Christiansen and Lysgaard (2007),8,customer,8.0,3.0,19.0,stochastic,Poisson,{'lambda': 19.0}
A-n33-k5,Christiansen and Lysgaard (2007),9,customer,7.0,14.0,10.0,stochastic,Poisson,{'lambda': 10.0}
A-n33-k5,Christiansen and Lysgaard (2007),10,customer,82.0,17.0,18.0,stochastic,Poisson,{'lambda': 18.0}
A-n33-k5,Christiansen and Lysgaard (2007),11,customer,48.0,13.0,20.0,stochastic,Poisson,{'lambda': 20.0}
A-n33-k5,Christiansen and Lysgaard (2007),12,customer,53.0,82.0,5.0,stochastic,Poisson,{'lambda': 5.0}
A-n33-k5,Christiansen and Lysgaard (2007),13,customer,39.0,27.0,9.0,stochastic,Poisson,{'lambda': 9.0}
A-n33-k5,Christiansen and Lysgaard (2007),14,customer,7.0,24.0,23.0,stochastic,Poisson,{'lambda': 23.0}
A-n33-k5,Christiansen and Lysgaard (2007),15,customer,67.0,98.0,9.0,stochastic,Poisson,{'lambda': 9.0}
A-n33-k5,Christiansen and Lysgaard (2007),16,customer,54.0,52.0,18.0,stochastic,Poisson,{'lambda': 18.0}
A-n33-k5,Christiansen and Lysgaard (2007),17,customer,72.0,43.0,10.0,stochastic,Poisson,{'lambda': 10.0}
A-n33-k5,Christiansen and Lysgaard (2007),18,customer,73.0,3.0,24.0,stochastic,Poisson,{'lambda': 24.0}
A-n33-k5,Christiansen and Lysgaard (2007),19,customer,59.0,77.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n33-k5,Christiansen and Lysgaard (2007),20,customer,58.0,97.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n33-k5,Christiansen and Lysgaard (2007),21,customer,23.0,43.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n33-k5,Christiansen and Lysgaard (2007),22,customer,68.0,98.0,10.0,stochastic,Poisson,{'lambda': 10.0}
A-n33-k5,Christiansen and Lysgaard (2007),23,customer,47.0,62.0,19.0,stochastic,Poisson,{'lambda': 19.0}
A-n33-k5,Christiansen and Lysgaard (2007),24,customer,52.0,72.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n33-k5,Christiansen and Lysgaard (2007),25,customer,32.0,88.0,13.0,stochastic,Poisson,{'lambda': 13.0}
A-n33-k5,Christiansen and Lysgaard (2007),26,customer,39.0,7.0,14.0,stochastic,Poisson,{'lambda': 14.0}
A-n33-k5,Christiansen and Lysgaard (2007),27,customer,17.0,8.0,2.0,stochastic,Poisson,{'lambda': 2.0}
A-n33-k5,Christiansen and Lysgaard (2007),28,customer,38.0,7.0,23.0,stochastic,Poisson,{'lambda': 23.0}
A-n33-k5,Christiansen and Lysgaard (2007),29,customer,58.0,74.0,15.0,stochastic,Poisson,{'lambda': 15.0}
A-n33-k5,Christiansen and Lysgaard (2007),30,customer,82.0,67.0,8.0,stochastic,Poisson,{'lambda': 8.0}
A-n33-k5,Christiansen and Lysgaard (2007),31,customer,42.0,7.0,20.0,stochastic,Poisson,{'lambda': 20.0}
A-n33-k5,Christiansen and Lysgaard (2007),32,customer,68.0,82.0,24.0,stochastic,Poisson,{'lambda': 24.0}
A-n33-k5,Christiansen and Lysgaard (2007),33,customer,7.0,48.0,3.0,stochastic,Poisson,{'lambda': 3.0}
