instance_name,dataset,node_id,node_type,x_coord,y_coord,demand,demand_type,distribution,parameters
E-n22-k4,Christiansen and Lysgaard (2007),1,depot,145.0,215.0,0.0,none,,
E-n22-k4,Christiansen and Lysgaard (2007),2,customer,151.0,264.0,11.0,stochastic,Poisson,{'lambda': 11.0}
E-n22-k4,Christiansen and Lysgaard (2007),3,customer,159.0,261.0,7.0,stochastic,Poisson,{'lambda': 7.0}
E-n22-k4,Christiansen and Lysgaard (2007),4,customer,130.0,254.0,8.0,stochastic,Poisson,{'lambda': 8.0}
E-n22-k4,Christiansen and Lysgaard (2007),5,customer,128.0,252.0,14.0,stochastic,Poisson,{'lambda': 14.0}
E-n22-k4,Christiansen and Lysgaard (2007),6,customer,163.0,247.0,21.0,stochastic,Poisson,{'lambda': 21.0}
E-n22-k4,Christiansen and Lysgaard (2007),7,customer,146.0,246.0,4.0,stochastic,Poisson,{'lambda': 4.0}
E-n22-k4,Christiansen and Lysgaard (2007),8,customer,161.0,242.0,8.0,stochastic,Poisson,{'lambda': 8.0}
E-n22-k4,Christiansen and Lysgaard (2007),9,customer,142.0,239.0,1.0,stochastic,Poisson,{'lambda': 1.0}
E-n22-k4,Christiansen and Lysgaard (2007),10,customer,163.0,236.0,5.0,stochastic,Poisson,{'lambda': 5.0}
E-n22-k4,Christiansen and Lysgaard (2007),11,customer,148.0,232.0,6.0,stochastic,Poisson,{'lambda': 6.0}
E-n22-k4,Christiansen and Lysgaard (2007),12,customer,128.0,231.0,12.0,stochastic,Poisson,{'lambda': 12.0}
E-n22-k4,Christiansen and Lysgaard (2007),13,customer,156.0,217.0,13.0,stochastic,Poisson,{'lambda': 13.0}
E-n22-k4,Christiansen and Lysgaard (2007),14,customer,129.0,214.0,13.0,stochastic,Poisson,{'lambda': 13.0}
E-n22-k4,Christiansen and Lysgaard (2007),15,customer,146.0,208.0,3.0,stochastic,Poisson,{'lambda': 3.0}
E-n22-k4,Christiansen and Lysgaard (2007),16,customer,164.0,208.0,9.0,stochastic,Poisson,{'lambda': 9.0}
E-n22-k4,Christiansen and Lysgaard (2007),17,customer,141.0,206.0,21.0,stochastic,Poisson,{'lambda': 21.0}
E-n22-k4,Christiansen and Lysgaard (2007),18,customer,147.0,193.0,10.0,stochastic,Poisson,{'lambda': 10.0}
E-n22-k4,Christiansen and Lysgaard (2007),19,customer,164.0,193.0,9.0,stochastic,Poisson,{'lambda': 9.0}
E-n22-k4,Christiansen and Lysgaard (2007),20,customer,129.0,189.0,25.0,stochastic,Poisson,{'lambda': 25.0}
E-n22-k4,Christiansen and Lysgaard (2007),21,customer,155.0,185.0,18.0,stochastic,Poisson,{'lambda': 18.0}
E-n22-k4,Christiansen and Lysgaard (2007),22,customer,139.0,182.0,7.0,stochastic,Poisson,{'lambda': 7.0}
